hospital,periodo,tendencia,cambio_total,integracion,recursos,procedimental,operatividad
CHBNativitas,2024 - 2026,MEJORA,3,2,-3,0,4
CHBHuamantla,2024 - 2026,MEJORA,22,7,0,6,9
CHBHumanitas,2024 - 2026,MEJORA,9,6,-1,3,1
CHBdelIMSS,2025 - 2026,ESTABLE,0,0,0,0,0
CHB del ISSSTE,2025 - 2026,ESTABLE,0,0,0,0,0
CHBIMSS#1,2025 - 2026,MEJORA,3,4,0,0,-1
CHBdelHRESP,2025 - 2026,ESTABLE,0,1,-1,1,-1
CHBClinica2000,2025 - 2026,ESTABLE,0,0,0,0,0
CHBdeZacatelco,2025 - 2026,MEJORA,2,4,0,0,-2
CHBdeSPM,2025 - 2026,ESTABLE,0,0,0,0,0
Copia de CHBdelHMT,2025 - 2026,ESTABLE,0,0,0,0,0
CHBdelHGCalpulapan,2025 - 2026,ESTABLE,0,0,0,0,0
CEIdelIMSS,2025 - 2026,MEJORA,8,1,3,0,4
CEI del HIT,2025 - 2026,RETROCESO,-1,1,-1,1,-2
CEI del OPD,2025 - 2026,ESTABLE,0,0,0,0,0
